date,v_observed,k_observed,greenshields,drake,five_pl,s3
10-26,60.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,71.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,71.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,71.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,78.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,60.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,78.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,71.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,56.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,78.0,0.4913333333333259,66.12717820464124,66.66723940038757,66.66568046350106,66.68287491335049
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,52.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,52.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,52.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,71.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,52.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
10-26,65.0,0.572,66.03594387412156,66.66168360860578,66.66514120079715,66.68287175943361
