zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length
12421,091-106-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-106_6-SB-VDS,Unknown,FDOT,Radar,26.8022900,-80.1316000,,70,60,
12422,091-106-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-106_1-SB-VDS,Unknown,FDOT,Radar,26.7948960,-80.1318830,,70,60,
12423,091-105-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-105_7-SB-VDS,Unknown,FDOT,Radar,26.7900190,-80.1321740,,70,60,
12424,091-105-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-105_3-SB-VDS,Unknown,FDOT,Radar,26.7840430,-80.1325180,,70,60,
12425,091-104-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-104_9-SB-VDS,Unknown,FDOT,Radar,26.7781200,-80.1329200,,70,60,
12426,091-104-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-104_1-SB-VDS,Unknown,FDOT,Radar,26.7666300,-80.1337100,,70,60,
12427,091-103-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-103_7-SB-VDS,Unknown,FDOT,Radar,26.7610830,-80.1341500,,70,60,
12428,091-102-9NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-102_9-SB-VDS,Unknown,FDOT,Radar,26.7490970,-80.1347060,,70,60,
12429,091-111-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-111_6-SB-VDS,Unknown,FDOT,Radar,26.8759900,-80.1293200,,70,60,
12430,091-107-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-107_1-SB-VDS,Unknown,FDOT,Radar,26.8102210,-80.1313880,,70,60,
12431,091-111-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-111_1-SB-VDS,Unknown,FDOT,Radar,26.8684410,-80.1291480,,70,60,
12432,091-110-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-110_6-SB-VDS,Unknown,FDOT,Radar,26.8606580,-80.1294490,,70,60,
12433,091-110-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-110_1-SB-VDS,Unknown,FDOT,Radar,26.8539910,-80.1296970,,70,60,
12434,091-109-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-109_6-SB-VDS,Unknown,FDOT,Radar,26.8459300,-80.1300000,,70,60,
12435,091-109-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-109_1-SB-VDS,Unknown,FDOT,Radar,26.8387760,-80.1303070,,70,60,
12436,091-108-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-108_6-SB-VDS,Unknown,FDOT,Radar,26.8320000,-80.1304500,,70,60,
12437,091-108-0NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-108_0-SB-VDS,Unknown,FDOT,Radar,26.8229980,-80.1308870,,70,60,
12438,091-107-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-107_6-SB-VDS,Unknown,FDOT,Radar,26.8170200,-80.1310300,,70,60,
12439,091-112-7NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-112_7-SB-VDS,Unknown,FDOT,Radar,26.8906800,-80.1346800,,70,60,
12440,091-112-2NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-112_2-SB-VDS,Unknown,FDOT,Radar,26.8833620,-80.1315210,,70,60,
12441,091-116-0NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-116_0-SB-VDS,Unknown,FDOT,Radar,26.9353290,-80.1543350,,70,60,
12442,091-115-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-115_6-SB-VDS,Unknown,FDOT,Radar,26.9298300,-80.1518400,,70,60,
12444,091-114-8NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-114_8-SB-VDS,Unknown,FDOT,Radar,26.9187210,-80.1470010,,70,60,
12445,091-114-5NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-114_5-NB-VDS,Unknown,FDOT,Radar,26.9150280,-80.1448540,,70,60,
12446,091-114-1NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-114_1-SB-VDS,Unknown,FDOT,Radar,26.9090300,-80.1427500,,70,60,
12447,091-113-6NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-113_6-SB-VDS,Unknown,FDOT,Radar,26.9034500,-80.1403000,,70,60,
12448,091-113-3NB-LNK,FTE,,America/New_York,Floridas Turnpike,North,091-113_3-SB-VDS,Unknown,FDOT,Radar,26.8982350,-80.1380860,,70,60,
